"","L1","L2","L3","L4","L5"
"KO12362","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K19465 mitochondrial genome maintenance exonuclease 1 [EC:3.1.-.-]"
"KO12363","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K21594 translation factor GUF1, mitochondrial [EC:3.6.5.-]"
"KO12364","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22063 iron-sulfur cluster assembly 1"
"KO12365","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22066 BolA-like protein 1"
"KO12366","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22068 iron-sulfur cluster assembly enzyme ISCU, mitochondrial"
"KO12367","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22069 LYR motif-containing protein 4"
"KO12368","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22071 ferredoxin-2, mitochondrial"
"KO12369","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22072 iron-sulfur cluster assembly 2"
"KO12370","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22073 transferase CAF17, mitochondrial [EC:2.1.-.-]"
"KO12371","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22074 NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
"KO12372","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22075 BolA-like protein 3"
"KO12373","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22076 mitochondrial fission factor"
"KO12374","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22077 ganglioside-induced differentiation-associated protein 1"
"KO12375","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22138 mitochondrial pyruvate carrier 1"
"KO12376","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22139 mitochondrial pyruvate carrier 2"
"KO12377","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22140 dynamin-like GTPase MGM1, mitochondrial"
"KO12378","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K22827 calcium uptake protein 1, mitochondrial"
"KO12379","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23164 reticulon-4-interacting protein 1, mitochondrial"
"KO12380","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23166 optic atrophy 3 protein"
"KO12381","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23167 synaptic vesicle membrane protein VAT-1"
"KO12382","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23168 protein MPAN"
"KO12383","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23495 RCC1-like G exchanging factor-like protein"
"KO12384","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23496 neugrin"
"KO12385","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23498 peptide chain release factor"
"KO12386","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23499 required for meiotic nuclear division protein 1"
"KO12387","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23500 sideroflexin-1/3"
"KO12388","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23501 sideroflexin-2"
"KO12389","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23502 sideroflexin-4"
"KO12390","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23503 sideroflexin-5"
"KO12391","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23504 protein SERAC1"
"KO12392","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K23506 apoptogenic protein 1"
"KO12393","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K24624 MICOS complex subunit MIC13"
"KO12394","KEGG","Brite Hierarchies","Protein families: genetic information processing","ko03029 Mitochondrial biogenesis","K24626 MICOS complex subunit MIC27"
"KO12395","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes",NA,NA
"KO12396","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters",NA
"KO12397","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K00427 L-lactate permease"
"KO12398","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K01552 energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]"
"KO12399","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K01604 methylmalonyl-CoA decarboxylase subunit alpha [EC:7.2.4.3]"
"KO12400","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K01989 putative tryptophan/tyrosine transport system substrate-binding protein"
"KO12401","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K01990 ABC-2 type transport system ATP-binding protein"
"KO12402","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K01992 ABC-2 type transport system permease protein"
"KO12403","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02003 putative ABC transport system ATP-binding protein"
"KO12404","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02004 putative ABC transport system permease protein"
"KO12405","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02013 iron complex transport system ATP-binding protein [EC:7.2.2.-]"
"KO12406","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02014 iron complex outermembrane recepter protein"
"KO12407","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02015 iron complex transport system permease protein"
"KO12408","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02016 iron complex transport system substrate-binding protein"
"KO12409","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02021 putative ABC transport system ATP-binding protein"
"KO12410","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02024 maltoporin"
"KO12411","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02025 multiple sugar transport system permease protein"
"KO12412","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02026 multiple sugar transport system permease protein"
"KO12413","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02027 multiple sugar transport system substrate-binding protein"
"KO12414","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02028 polar amino acid transport system ATP-binding protein [EC:7.4.2.1]"
"KO12415","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02029 polar amino acid transport system permease protein"
"KO12416","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02030 polar amino acid transport system substrate-binding protein"
"KO12417","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02049 NitT/TauT family transport system ATP-binding protein"
"KO12418","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02050 NitT/TauT family transport system permease protein"
"KO12419","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02051 NitT/TauT family transport system substrate-binding protein"
"KO12420","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02056 simple sugar transport system ATP-binding protein [EC:7.5.2.-]"
"KO12421","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02057 simple sugar transport system permease protein"
"KO12422","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02058 simple sugar transport system substrate-binding protein"
"KO12423","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02068 putative ABC transport system ATP-binding protein"
"KO12424","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02069 putative ABC transport system permease protein"
"KO12425","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02074 zinc/manganese transport system ATP-binding protein"
"KO12426","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02075 zinc/manganese transport system permease protein"
"KO12427","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02077 zinc/manganese transport system substrate-binding protein"
"KO12428","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02100 MFS transporter, SP family, arabinose:H+ symporter"
"KO12429","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02168 choline/glycine/proline betaine transport protein"
"KO12430","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02198 cytochrome c-type biogenesis protein CcmF"
"KO12431","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02429 MFS transporter, FHS family, L-fucose permease"
"KO12432","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02440 glycerol uptake facilitator protein"
"KO12433","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02445 MFS transporter, OPA family, glycerol-3-phosphate transporter"
"KO12434","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02511 MFS transporter, ACS family, 4-hydroxyphenylacetate permease"
"KO12435","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02526 2-keto-3-deoxygluconate permease"
"KO12436","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02550 glycolate permease"
"KO12437","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02598 nitrite transporter"
"KO12438","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02625 MFS transporter, MHS family, dicarboxylic acid transporter PcaT"
"KO12439","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02803 N-acetylglucosamine PTS system EIIB component [EC:2.7.1.193]"
"KO12440","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02824 uracil permease"
"KO12441","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K02856 L-rhamnose-H+ transport protein"
"KO12442","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03162 major outer membrane protein"
"KO12443","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03282 large conductance mechanosensitive channel"
"KO12444","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03284 magnesium transporter"
"KO12445","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03286 OmpA-OmpF porin, OOP family"
"KO12446","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03288 MFS transporter, MHS family, citrate/tricarballylate:H+ symporter"
"KO12447","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03290 MFS transporter, SHS family, sialic acid transporter"
"KO12448","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03291 MFS transporter, SET family, sugar efflux transporter"
"KO12449","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03297 small multidrug resistance pump"
"KO12450","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03298 drug/metabolite transporter, DME family"
"KO12451","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03299 gluconate:H+ symporter, GntP family"
"KO12452","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03303 lactate permease"
"KO12453","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03304 tellurite resistance protein"
"KO12454","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03312 glutamate:Na+ symporter, ESS family"
"KO12455","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03313 Na+:H+ antiporter, NhaA family"
"KO12456","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03314 Na+:H+ antiporter, NhaB family"
"KO12457","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03315 Na+:H+ antiporter, NhaC family"
"KO12458","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03320 ammonium transporter, Amt family"
"KO12459","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03321 sulfate permease, SulP family"
"KO12460","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03322 manganese transport protein"
"KO12461","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03323 solute carrier family 29 (equilibrative nucleoside transporter), member 4"
"KO12462","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03324 phosphate:Na+ symporter"
"KO12463","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03325 arsenite transporter"
"KO12464","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03326 C4-dicarboxylate transporter, DcuC family"
"KO12465","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03327 multidrug resistance protein, MATE family"
"KO12466","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03329 amino acid exporter"
"KO12467","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03441 aquaglyceroporin related protein, other eukaryote"
"KO12468","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03442 small conductance mechanosensitive channel"
"KO12469","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03444 MFS transporter, SP family, ERD6-like sugar transporter"
"KO12470","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03446 MFS transporter, DHA2 family, multidrug resistance protein"
"KO12471","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03447 MFS transporter, OPA family, solute carrier family 37 (glycerol-3-phosphate transporter), member 3"
"KO12472","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03448 MFS transporter, ACS family, pantothenate transporter"
"KO12473","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03449 MFS transporter, CP family, cyanate transporter"
"KO12474","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03454 solute carrier family 25, member 46"
"KO12475","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03498 trk system potassium uptake protein"
"KO12476","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03499 trk system potassium uptake protein"
"KO12477","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03535 MFS transporter, ACS family, glucarate transporter"
"KO12478","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03543 membrane fusion protein, multidrug efflux system"
"KO12479","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03548 putative permease"
"KO12480","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03549 KUP system potassium uptake protein"
"KO12481","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03559 biopolymer transport protein ExbD"
"KO12482","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03560 biopolymer transport protein TolR"
"KO12483","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03561 biopolymer transport protein ExbB"
"KO12484","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03562 biopolymer transport protein TolQ"
"KO12485","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03640 peptidoglycan-associated lipoprotein"
"KO12486","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03641 TolB protein"
"KO12487","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03643 LPS-assembly lipoprotein"
"KO12488","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03646 colicin import membrane protein"
"KO12489","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03756 putrescine:ornithine antiporter"
"KO12490","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03757 cadaverine:lysine antiporter"
"KO12491","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03758 arginine:ornithine antiporter / lysine permease"
"KO12492","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03759 arginine:agmatine antiporter"
"KO12493","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03761 MFS transporter, MHS family, alpha-ketoglutarate permease"
"KO12494","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03762 MFS transporter, MHS family, proline/betaine transporter"
"KO12495","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03811 nicotinamide mononucleotide transporter"
"KO12496","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03832 periplasmic protein TonB"
"KO12497","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03834 tyrosine-specific transport protein"
"KO12498","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03835 tryptophan-specific transport protein"
"KO12499","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03837 serine transporter"
"KO12500","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K03893 arsenical pump membrane protein"
"KO12501","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K04744 LPS-assembly protein"
"KO12502","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K04758 ferrous iron transport protein A"
"KO12503","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K04759 ferrous iron transport protein B"
"KO12504","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05020 glycine betaine transporter"
"KO12505","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05039 solute carrier family 6 (neurotransmitter transporter, taurine) member 6"
"KO12506","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05041 solute carrier family 6 (neurotransmitter transporter, creatine) member 8"
"KO12507","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05048 solute carrier family 6 (neurotransmitter transporter, amino acid/orphan) member 15/16/17/18/20"
"KO12508","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05336 solute carrier family 6 (neurotransmitter transporter), invertebrate"
"KO12509","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05340 glucose uptake protein"
"KO12510","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05517 nucleoside-specific channel-forming protein"
"KO12511","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05548 MFS transporter, AAHS family, benzoate transport protein"
"KO12512","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05559 multicomponent K+:H+ antiporter subunit A"
"KO12513","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05560 multicomponent K+:H+ antiporter subunit C"
"KO12514","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05561 multicomponent K+:H+ antiporter subunit D"
"KO12515","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05562 multicomponent K+:H+ antiporter subunit E"
"KO12516","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05563 multicomponent K+:H+ antiporter subunit F"
"KO12517","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05564 multicomponent K+:H+ antiporter subunit G"
"KO12518","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05565 multicomponent Na+:H+ antiporter subunit A"
"KO12519","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05566 multicomponent Na+:H+ antiporter subunit B"
"KO12520","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05567 multicomponent Na+:H+ antiporter subunit C"
"KO12521","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05568 multicomponent Na+:H+ antiporter subunit D"
"KO12522","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05569 multicomponent Na+:H+ antiporter subunit E"
"KO12523","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05570 multicomponent Na+:H+ antiporter subunit F"
"KO12524","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05571 multicomponent Na+:H+ antiporter subunit G"
"KO12525","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05595 multiple antibiotic resistance protein"
"KO12526","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05777 putative thiamine transport system substrate-binding protein"
"KO12527","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05778 putative thiamine transport system permease protein"
"KO12528","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05779 putative thiamine transport system ATP-binding protein"
"KO12529","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05782 benzoate membrane transport protein"
"KO12530","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05786 chloramphenicol-sensitive protein RarD"
"KO12531","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05802 potassium-dependent mechanosensitive channel"
"KO12532","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05807 outer membrane protein assembly factor BamD"
"KO12533","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05819 MFS transporter, AAHS family, 3-hydroxyphenylpropionic acid transporter"
"KO12534","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05820 MFS transporter, PPP family, 3-phenylpropionic acid transporter"
"KO12535","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05832 putative tryptophan/tyrosine transport system permease protein"
"KO12536","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05833 putative tryptophan/tyrosine transport system ATP-binding protein"
"KO12537","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05834 homoserine/homoserine lactone efflux protein"
"KO12538","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K05835 threonine efflux protein"
"KO12539","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06076 long-chain fatty acid transport protein"
"KO12540","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06141 MFS transporter, TsgA protein"
"KO12541","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06147 ATP-binding cassette, subfamily B, bacterial"
"KO12542","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06148 ATP-binding cassette, subfamily C, bacterial"
"KO12543","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06155 Gnt-I system high-affinity gluconate transporter"
"KO12544","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06156 Gnt-I system low-affinity gluconate transporter"
"KO12545","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06157 Gnt-II system L-idonate transporter"
"KO12546","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06186 outer membrane protein assembly factor BamE"
"KO12547","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06188 aquaporin Z"
"KO12548","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06189 magnesium and cobalt transporter"
"KO12549","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06196 cytochrome c-type biogenesis protein"
"KO12550","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06199 fluoride exporter"
"KO12551","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06212 formate transporter"
"KO12552","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06213 magnesium transporter"
"KO12553","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06296 spore germination protein KB"
"KO12554","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06316 oligosaccharide translocation protein RFT1"
"KO12555","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06409 stage V sporulation protein B"
"KO12556","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06518 holin-like protein"
"KO12557","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06580 ammonium transporter Rh"
"KO12558","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06600 chemosensory pili system protein ChpE"
"KO12559","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06609 MFS transporter, SP family, major inositol transporter"
"KO12560","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06610 MFS transporter, SP family, inositol transporter"
"KO12561","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06895 L-lysine exporter family protein LysE/ArgO"
"KO12562","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K06901 adenine/guanine/hypoxanthine permease"
"KO12563","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K07114 Ca-activated chloride channel homolog"
"KO12564","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K07156 copper resistance protein C"
"KO12565","KEGG","Brite Hierarchies","Protein families: signaling and cellular processes","ko02000 Transporters","K07221 phosphate-selective porin OprO and OprP"
